source,original
src/app.c.js,月
src/app.c.js,大葛
src/app.c.js,小葛
src/app.c.js,你好呀，${this.boy.age}岁的${this.boy.name}。
src/app.c.html,请选择语言
src/app.c.html,测试
src/app.c.html,你好，世界！
src/app.c.html,你好，${boy.name}
src/app.c.html,春江潮水连海平，海上明${moon}共潮生
src/app.c.html,你好，${boy.name}！
src/app.c.html,"对于 inline tag，包括<code>code</code>,<span style=""color: blue"">span</span>,<small>small</small>,<strong style=""font-size: 500"">strong</strong>,<i style=""font-size:500;font-style:italic"">i</i>,<code>a</code>这几个，如果其不包含任何需要翻译的属性（Attribute），则可以<a href=""https://baidu.com"" target=""_blank"">合并</a>到一行文本进行抽取和翻译。
  你好，${boy.name}"
src/printer.c.html,静以修身，检以养德
